,date,当日_confirm,当日_dead,当日_heal,当日_input,当日_severe,当日_storeConfirm,当日_suspect,累计_confirm,累计_dead,累计_heal,累计_input,累计_severe,累计_storeConfirm,累计_suspect
0,2020-01-13,0,0,0,0,,0,0,41,1,0,0,,0,0
1,2020-01-14,0,0,0,0,,0,0,41,1,0,0,,0,0
2,2020-01-15,0,0,0,0,,0,0,41,2,5,0,,0,0
3,2020-01-16,0,0,0,0,,0,0,45,2,8,0,,0,0
4,2020-01-17,0,0,0,0,,0,0,62,2,12,0,,0,0
5,2020-01-18,0,0,0,0,,0,0,198,3,17,0,,0,0
6,2020-01-19,0,0,0,0,,0,0,275,4,18,0,,0,0
7,2020-01-20,77,0,0,0,,0,27,291,6,25,0,,291,0
8,2020-01-21,149,0,0,0,,0,53,440,9,25,0,,431,0
9,2020-01-22,131,0,0,0,,0,257,574,17,25,0,,557,0
10,2020-01-23,259,0,0,0,,0,680,835,25,34,0,,776,0
11,2020-01-24,444,0,0,0,,0,1118,1297,41,38,0,,1218,0
12,2020-01-25,688,0,0,0,,0,1309,1985,56,49,0,,1880,0
13,2020-01-26,769,0,0,0,,0,3806,2761,80,51,0,,2630,0
14,2020-01-27,1771,0,0,0,,0,2077,4535,106,60,0,,4369,0
15,2020-01-28,1459,0,0,0,,0,3248,5997,132,103,0,,5762,0
16,2020-01-29,1737,0,0,0,,0,4148,7736,170,124,0,,7442,0
17,2020-01-30,1982,0,0,0,,0,4812,9720,213,171,0,,9336,0
18,2020-01-31,2102,0,0,0,,0,5019,11821,259,243,0,,11319,0
19,2020-02-01,2590,0,0,0,,0,4562,14411,304,328,0,,13779,0
20,2020-02-02,2829,0,0,0,,0,5173,17238,361,475,0,,16402,0
21,2020-02-03,3235,0,0,0,,0,5072,20471,425,632,0,,19414,0
22,2020-02-04,3893,0,0,0,,0,3971,24363,491,892,0,,22980,0
23,2020-02-05,3697,0,0,0,,0,5328,28060,564,1153,0,,26343,0
24,2020-02-06,3143,0,0,0,,0,4833,31211,637,1542,0,,29032,0
25,2020-02-07,3401,0,0,0,,0,4214,34598,723,2052,0,,31823,0
26,2020-02-08,2656,0,0,0,,0,3916,37251,812,2651,0,,33788,0
27,2020-02-09,3062,0,0,0,,0,4008,40235,909,3283,0,,36043,0
28,2020-02-10,2484,0,0,0,,0,3536,42708,1017,3998,0,,37693,0
29,2020-02-11,2022,0,0,0,,0,3342,44730,1114,4742,0,,38874,0
30,2020-02-12,15153,0,0,0,,0,2807,59882,1368,5915,0,,52599,0
31,2020-02-13,5093,0,0,0,,0,2450,63932,1381,6728,0,,55823,0
32,2020-02-14,2644,0,0,0,,0,2277,66576,1524,8101,0,,56951,0
33,2020-02-15,2009,0,0,0,,0,1918,68584,1666,9425,0,,57493,0
34,2020-02-16,2051,0,0,0,,0,1563,70635,1772,10853,0,,58010,0
35,2020-02-17,1891,0,0,0,,0,1432,72528,1870,12561,0,,58097,0
36,2020-02-18,1751,0,0,0,,0,1185,74279,2006,14387,0,,57886,0
37,2020-02-19,820,0,0,0,,0,1277,75002,2121,16157,0,,56386,0
38,2020-02-20,892,0,0,0,,0,1614,75993,2239,18266,0,,55051,0
39,2020-02-21,399,0,0,0,,0,1361,76392,2348,20673,0,,53371,0
40,2020-02-22,649,0,0,0,,0,882,77041,2445,22907,0,,51689,0
