,id,name,当日_confirm,当日_dead,当日_heal,当日_input,当日_severe,当日_storeConfirm,当日_suspect,累计_confirm,累计_dead,累计_heal,累计_input,累计_severe,累计_suspect
0,9577772,突尼斯,23.0,0.0,0.0,,,,,1263,50,1076,0.0,0,0
1,9507896,塞尔维亚,287.0,0.0,0.0,,,,,18360,393,13876,0.0,0,0
2,0,中国,46.0,0.0,31.0,8.0,,15.0,,85568,4648,80345,1979.0,0,0
3,1,日本,75.0,0.0,63.0,0.0,,,,18241,940,16298,0.0,0,0
4,2,泰国,1.0,0.0,0.0,,,,,3217,58,3088,0.0,0,0
5,3,新加坡,178.0,0.0,259.0,,,,,45961,26,42285,0.0,0,0
6,4,韩国,62.0,0.0,26.0,,,,,13479,289,12204,0.0,0,0
7,5,澳大利亚,183.0,0.0,40.0,,,,,9980,108,7768,0.0,0,0
8,6,德国,23.0,0.0,28.0,,,,,199919,9071,184414,0.0,0,0
9,7,美国,58349.0,380.0,27664.0,,,,,3413995,137782,1517084,0.0,0,0
10,8,马来西亚,14.0,0.0,0.0,,,,,8718,122,8519,0.0,0,0
11,9,越南,2.0,0.0,0.0,,,,,372,0,350,0.0,0,0
12,89566,圣巴泰勒米,,,,,,,,6,0,6,,0,0
13,821,肯尼亚,379.0,1.0,49.0,,,,,10105,185,2881,0.0,0,0
14,826,伊朗,2186.0,0.0,0.0,,,,,257303,12829,219993,0.0,0,0
15,827,以色列,457.0,4.0,93.0,,,,,38670,362,19008,0.0,0,0
16,828,毛利亚尼亚,,,,,,,,16,2,6,,0,0
17,829,黎巴嫩,166.0,0.0,18.0,,,,,2334,36,1420,0.0,0,0
18,833,克罗地亚,50.0,0.0,0.0,,,,,3722,119,2486,0.0,0,0
19,834,奥地利,114.0,0.0,0.0,,,,,18897,708,16952,0.0,0,0
20,835,瑞士,85.0,0.0,100.0,,,,,32883,1968,29600,0.0,0,0
21,839,希腊,31.0,0.0,0.0,,,,,3803,193,1374,0.0,0,0
22,95800,毛里求斯,0.0,0.0,0.0,,,,,342,10,330,0.0,0,0
23,845,爱沙尼亚,0.0,0.0,0.0,,,,,2014,69,1895,0.0,0,0
24,846,北马其顿,136.0,6.0,123.0,,,,,8111,382,4203,0.0,0,0
25,850,白俄罗斯,165.0,0.0,0.0,,,,,64932,464,55380,0.0,0,0
26,851,立陶宛,4.0,0.0,0.0,,,,,1869,79,1571,0.0,0,0
27,852,阿塞拜疆,520.0,0.0,0.0,,,,,24041,306,15093,0.0,0,0
28,875097,美属维尔京群岛,,,,,,,,72,6,46,,0,0
29,95826,蒙古,,,,,,,,197,0,98,,0,0
30,872,乌克兰,706.0,0.0,0.0,,,,,54647,1400,26971,0.0,0,0
31,874,波兰,370.0,0.0,0.0,,,,,37891,1571,27148,0.0,0,0
32,879,波黑,158.0,0.0,0.0,,,,,6877,221,3115,0.0,0,0
33,80902,蒙特塞拉特,,,,,,,,11,1,10,,0,0
34,880,南非,12058.0,108.0,7159.0,,,,,276242,4079,134874,0.0,0,0
35,95198,布隆迪,,,,,,,,85,1,45,,0,0
36,95215522,南苏丹,0.0,0.0,0.0,0.0,0.0,,0.0,1755,30,58,0.0,0,0
37,893,马耳他,0.0,0.0,0.0,,,,,674,9,660,0.0,0,0
38,896,摩尔多瓦,458.0,0.0,0.0,,,,,19382,642,12667,0.0,0,0
39,897,保加利亚,77.0,1.0,8.0,,,,,7252,268,3319,0.0,0,0
40,898,孟加拉,2666.0,0.0,0.0,,,,,183795,2352,93614,0.0,0,0
41,899,阿尔巴尼亚,,,,,0.0,,0.0,1521,36,1044,,0,0
42,950000,巴勒斯坦,299.0,2.0,0.0,,,,,6230,36,942,0.0,0,0
43,95kml,科摩罗,,,,,,,,176,2,114,,0,0
44,953333,阿富汗,85.0,0.0,0.0,,,,,34451,1010,21216,0.0,0,0
45,95888822,沙特阿拉伯,2779.0,0.0,0.0,,,,,232259,2223,167138,0.0,0,0
46,9511123,新西兰,1.0,0.0,0.0,,,,,1544,22,1497,0.0,0,0
47,95333,塔吉克斯坦,46.0,0.0,52.0,,,,,6552,55,5228,0.0,0,0
