,date,当日_confirm,当日_suspect,当日_heal,当日_dead,当日_severe,当日_storeConfirm,当日_input,累计_confirm,累计_suspect,累计_heal,累计_dead,累计_severe,累计_input,累计_storeConfirm
0,2020-01-20,0,0,0,0,,0,0,270,0,25,6,,0,239
1,2020-01-21,105,0,3,3,,0,0,375,0,28,9,,0,338
2,2020-01-22,69,0,0,8,,0,0,444,0,28,17,,0,399
3,2020-01-23,105,0,3,7,,0,0,549,0,31,24,,0,494
4,2020-01-24,180,0,1,15,,0,0,729,0,32,39,,0,658
5,2020-01-25,323,0,10,13,,0,0,1052,0,42,52,,0,958
6,2020-01-26,371,0,2,24,,0,0,1423,0,44,76,,0,1303
7,2020-01-27,1291,0,3,24,,0,0,2714,0,47,100,,0,2567
8,2020-01-28,840,0,33,25,,0,0,3554,0,80,125,,0,3349
9,2020-01-29,1032,0,10,37,,0,0,4586,0,90,162,,0,4334
10,2020-01-30,1220,0,26,42,,0,0,5806,0,116,204,,0,5486
11,2020-01-31,1347,0,50,45,,0,0,7153,0,166,249,,0,6738
12,2020-02-01,1921,0,49,45,,0,0,9074,0,215,294,,0,8565
13,2020-02-02,2103,0,80,56,,0,0,11177,0,295,350,,0,10532
14,2020-02-03,2345,0,101,64,,0,0,13522,0,396,414,,0,12712
15,2020-02-04,3156,0,124,65,,0,0,16678,0,520,479,,0,15679
16,2020-02-05,2987,0,113,70,,0,0,19655,0,633,549,,0,18473
17,2020-02-06,2447,0,184,69,,0,0,22112,0,817,618,,0,20677
18,2020-02-07,2841,0,298,81,,0,0,24953,0,1115,699,,0,23139
19,2020-02-08,2147,0,324,81,,0,0,27100,0,1439,780,,0,24881
20,2020-02-09,2618,0,356,91,,0,0,29631,0,1795,871,,0,26965
21,2020-02-10,2097,0,427,103,,0,0,31728,0,2222,974,,0,28532
22,2020-02-11,1638,0,417,94,,0,0,33366,0,2639,1068,,0,29659
23,2020-02-12,14840,0,802,242,,0,0,48206,0,3441,1310,,0,43455
24,2020-02-13,4823,0,690,8,,0,0,51986,0,4131,1318,,0,46537
25,2020-02-14,2420,0,643,139,,0,0,54406,0,4774,1457,,0,48175
26,2020-02-15,1843,0,849,139,,0,0,56249,0,5623,1596,,0,49030
27,2020-02-16,1933,0,1016,100,,0,0,58182,0,6639,1696,,0,49847
28,2020-02-17,1807,0,1223,93,,0,0,59989,0,7862,1789,,0,50338
29,2020-02-18,1693,0,1266,132,,0,0,61682,0,9128,1921,,0,50633
30,2020-02-19,775,0,1209,108,,0,0,62457,0,10337,2029,,0,50091
31,2020-02-20,631,0,1451,115,,0,0,63088,0,11788,2144,,0,49156
